generation,N_shifts,logPrior,logLik,eventRate,acceptRate
2545000,25,122.288,-18688.7,14.3321,0.3532
2550000,23,120.251,-18702.7,8.79001,0.3466
2555000,25,125.334,-18704.5,10.301,0.358
2560000,22,96.2338,-18689.2,13.6507,0.362
2565000,24,116.745,-18691.5,14.8707,0.355
2570000,26,127.374,-18688.1,11.247,0.3514
2575000,21,99.8201,-18700.1,13.4624,0.3428
2580000,21,99.7457,-18698.9,15.5519,0.3332
2585000,23,113.744,-18713.1,12.8226,0.3642
2590000,25,128.772,-18712.5,10.1809,0.3462
2595000,23,114.223,-18705.8,16.8865,0.3606
2600000,19,87.1866,-18702.6,8.29974,0.367
2605000,19,87.0554,-18719.8,12.4173,0.354
2610000,16,51.3519,-18708.4,7.97369,0.336855
2615000,14,40.5971,-18717.6,5.84821,0.331
2620000,23,100.974,-18704.9,11.3564,0.3514
2625000,18,63.8988,-18706,10.2071,0.3496
2630000,19,72.7815,-18714.1,11.9661,0.3382
2635000,21,78.8916,-18698,13.0264,0.3524
2640000,20,90.2464,-18706.8,7.04295,0.35
2645000,18,75.4542,-18689.1,9.31485,0.3508
2650000,21,76.3108,-18705.4,11.7244,0.3478
2655000,21,95.5172,-18708,9.42588,0.3536
2660000,17,69.1898,-18712.3,7.27523,0.3454
2665000,21,90.2813,-18706.2,10.3229,0.3456
2670000,21,82.1164,-18683.5,8.90901,0.3478
2675000,23,93.6191,-18699.2,12.2148,0.3608
2680000,19,67.7523,-18691.8,8.19926,0.3544
2685000,22,96.0992,-18686,8.03451,0.3502
2690000,20,76.0455,-18693.1,9.09939,0.3714
2695000,18,70.7904,-18694.8,9.76754,0.3654
2700000,21,72.0606,-18686.4,18.1787,0.3576
2705000,25,106.306,-18672.4,11.5065,0.3636
2710000,28,121.717,-18671.5,16.3213,0.3378
2715000,27,115.03,-18659.6,15.3559,0.366
